words, meaning, mp3_files
test, 測試, a
body, 身體, b
head, 頭, c
foot, 腳, d
hand, 手, e
eye, 眼睛, f
ear, 耳朵, g
nose, 鼻子, h
mouth, 嘴巴, i
tooth, 牙齒, j
tongue, 舌頭, k
lip, 嘴唇, l
hair, 頭髮, m
face, 臉, n
neck, 脖子, o
shoulder, 肩膀, p
arm, 手臂, q
elbow, 手肘, r
wrist, 手腕, s
finger, 手指, t
thumb, 拇指, u
nail, 指甲, v
chest, 胸, w
back, 背, x
waist, 腰, y
hip, 臀, z
leg, 腿, aa
knee, 膝蓋, ab
ankle, 腳踝, ac
heel, 腳跟, ad
toe, 腳趾, ae
heart, 心臟, af
lung, 肺, ag
liver, 肝, ah
stomach, 胃, ai
intestine, 腸, aj
kidney, 腎, ak
bladder, 膀胱, al
brain, 腦, am
nerve, 神經, an
bone, 骨頭, ao
muscle, 肌肉, ap
skin, 皮膚, aq
blood, 血, ar
vein, 靜脈, as
artery, 動脈, at
skeleton, 骨骼, au
organ, 器官, av
cell, 細胞, aw
tissue, 組織, ax
fluid, 液體, ay
fat, 脂肪, az
sweat, 汗, ba
tear, 眼淚, bb
saliva, 唾液, bc
mucus, 黏液, bd
urine, 尿液, be
feces, 糞便, bf
vomit, 嘔吐, bg
snot, 鼻涕, bh
phlegm, 痰, bi
pus, 膿, bj
wound, 傷口, bk
bruise, 瘀青, bl
scar, 疤痕, bm
rash, 疹子, bn
